1 Sector;  2 Sector;  3 Sector;  age;  year_of_census;  delta_real;  delta_pred
0,26547775;  0,33681214;  0,39771017;  26;  1925;  0,12656641604010024;  0,20148875
0,2704959;  0,3335668;  0,39593735;  25;  1925;  0,06265664160401004;  0,20787705
0,27610943;  0,33038035;  0,39351028;  24;  1925;  0,017543859649122806;  0,2167479
0,2820614;  0,32766998;  0,3902686;  23;  1925;  0,07769423558897243;  0,2503318
0,292;  0,322;  0,385;  22;  1925;  0,1716791979949875;  0,28616628
0,2933152;  0,32603514;  0,38064966;  21;  1925;  0,1716791979949875;  0,31901774
0,2979352;  0,3281448;  0,37392002;  20;  1925;  0,2005012531328321;  0,31682435
0,3018659;  0,3323986;  0,3657355;  19;  1925;  0,1729323308270677;  0,3081123
0,304;  0,319;  0,377;  55;  1933;  0,2869674185463659;  0,30590823
0,29569086;  0,32201776;  0,38229144;  54;  1933;  0,23308270676691728;  0,3168248
0,29290462;  0,32158577;  0,38550964;  53;  1933;  0,2305764411027569;  0,31717154
0,29058915;  0,3210195;  0,3883914;  52;  1933;  0,19548872180451127;  0,31483912
0,28866902;  0,3203507;  0,39098024;  51;  1933;  0,14035087719298245;  0,31270686
0,28708452;  0,31960475;  0,39331076;  50;  1933;  0,14035087719298245;  0,31108052
0,28578666;  0,31880355;  0,39540982;  49;  1933;  0,14160401002506265;  0,3116687
0,28473452;  0,31796786;  0,3972976;  48;  1933;  0,14411027568922305;  0,3111818
0,2838926;  0,31711918;  0,39898825;  47;  1933;  0,16791979949874689;  0,31144917
0,28322914;  0,31628102;  0,40048987;  46;  1933;  0,17042606516290726;  0,3104839
0,276;  0,318;  0,406;  45;  1933;  0,2456140350877193;  0,30430964
0,2823191;  0,31475323;  0,4029277;  44;  1933;  0,12907268170426067;  0,30523053
0,28201342;  0,3141391;  0,40384746;  43;  1933;  0,09899749373433585;  0,30300835
0,28176552;  0,31369138;  0,40454304;  42;  1933;  0,06766917293233084;  0,30263147
0,28154004;  0,31347626;  0,40498373;  41;  1933;  0,01879699248120301;  0,29512447
0,2812976;  0,31357494;  0,40512747;  40;  1933;  0,016290726817042606;  0,28717944
0,28099474;  0,31408322;  0,40492204;  39;  1933;  0,02005012531328321;  0,279235
0,28058666;  0,31510475;  0,40430862;  38;  1933;  0,03884711779448621;  0,27150935
0,28003347;  0,31673396;  0,40323254;  37;  1933;  0,05263157894736842;  0,2625247
0,27931327;  0,31902456;  0,40166223;  36;  1933;  0,05639097744360902;  0,2525713
0,281;  0,32;  0,4;  35;  1933;  0,09523809523809525;  0,24939232
0,27747813;  0,32534826;  0,3971736;  34;  1933;  0,06766917293233084;  0,2519056
0,27654898;  0,32895193;  0,39449912;  33;  1933;  0,08771929824561404;  0,25210595
0,2758082;  0,33239618;  0,39179558;  32;  1933;  0,11403508771929825;  0,25203907
0,2754134;  0,33531478;  0,3892718;  31;  1933;  0,15162907268170425;  0,25116292
0,27549088;  0,33741096;  0,3870981;  30;  1933;  0,1979949874686717;  0,24438025
0,27611914;  0,33849773;  0,3853831;  29;  1933;  0,2568922305764411;  0,23146914
0,27733082;  0,3384989;  0,38417026;  28;  1933;  0,33709273182957394;  0,22253413
0,284;  0,34;  0,376;  27;  1933;  0,43734335839599;  0,22317255
0,2814978;  0,33534473;  0,38315746;  26;  1933;  0,5914786967418546;  0,21396838
0,2844391;  0,33235684;  0,383204;  25;  1933;  0,7268170426065164;  0,21975805
0,28796977;  0,32858402;  0,38344628;  24;  1933;  0,8408521303258146;  0,23416908
0,29213935;  0,32418022;  0,38368043;  23;  1933;  0,9022556390977443;  0,2556614
0,299;  0,31;  0,391;  22;  1933;  0,993734335839599;  0,26330277
0,30272764;  0,31450886;  0,38276345;  21;  1933;  0,7243107769423559;  0,30416945
0,30930826;  0,310198;  0,3804938;  20;  1933;  0,855889724310777;  0,31214333
0,31674823;  0,30731097;  0,37594083;  19;  1933;  1,0;  0,30107686
